Time,Channel A,Channel B
(ms),(V),(mV)

51.77444656,0.00000000,0.32654800
51.93828656,0.00000000,-0.13122960
52.10212656,0.00000000,0.32654800
52.26596656,0.00000000,0.32654800
52.42980656,0.00000000,-0.13122960
52.59364656,0.00000000,-0.13122960
52.75748656,0.00000000,0.32654800
52.92132655,0.00000000,-0.13122960
53.08516655,0.00000000,-0.13122960
53.24900655,0.00000000,-0.13122960
53.41284655,0.00000000,0.32654800
53.57668655,0.00000000,0.78432570
53.74052655,0.00000000,-0.13122960
53.90436655,0.00000000,0.32654800
54.06820655,0.00000000,0.32654800
54.23204655,0.00000000,0.32654800
54.39588655,0.00000000,0.32654800
54.55972654,0.00000000,-0.13122960
54.72356654,0.00000000,-0.13122960
54.88740654,0.00000000,-0.13122960
55.05124654,0.00000000,-0.13122960
55.21508654,0.00000000,0.32654800
55.37892654,0.00000000,-0.13122960
55.54276654,0.00000000,-0.13122960
55.70660654,0.00000000,-0.13122960
55.87044654,0.00000000,0.32654800
56.03428654,1.70369600,0.32654800
56.19812653,1.70369600,-0.13122960
56.36196653,1.70369600,-0.13122960
56.52580653,1.70369600,-0.13122960
56.68964653,1.70369600,0.32654800
56.85348653,1.70369600,-0.13122960
57.01732653,1.70369600,0.32654800
57.18116653,1.70369600,-0.13122960
57.34500653,1.65883400,-0.13122960
57.50884653,1.70369600,0.32654800
57.67268653,1.70369600,-0.13122960
57.83652652,1.70369600,-0.13122960
58.00036652,-1.65898600,0.32654800
58.16420652,-1.65898600,0.32654800
58.32804652,-1.65898600,0.32654800
58.49188652,-1.65898600,0.32654800
58.65572652,-1.65898600,0.32654800
58.81956652,-1.65898600,-0.13122960
58.98340652,-1.65898600,-0.13122960
59.14724652,-1.65898600,0.32654800
59.31108652,-1.65898600,-0.13122960
59.47492651,-1.65898600,-0.13122960
59.63876651,-1.65898600,0.32654800
59.80260651,-1.65898600,0.32654800
59.96644651,0.00000000,0.32654800
60.13028651,0.00000000,-0.13122960
60.29412651,0.00000000,0.32654800
60.45796651,0.00000000,0.32654800
60.62180651,0.00000000,-0.13122960
60.78564651,0.00000000,-0.13122960
60.94948651,0.00000000,-0.13122960
61.11332650,0.00000000,-0.13122960
61.27716650,0.00000000,-0.13122960
61.44100650,0.00000000,-0.13122960
61.60484650,0.00000000,0.32654800
61.76868650,0.00000000,0.32654800
61.93252650,0.00000000,0.32654800
62.09636650,0.00000000,-0.13122960
62.26020650,0.00000000,-0.13122960
62.42404650,0.00000000,0.32654800
62.58788650,0.00000000,-0.13122960
62.75172649,0.00000000,-0.13122960
62.91556649,0.00000000,-0.13122960
63.07940649,0.00000000,-0.13122960
63.24324649,0.00000000,-0.13122960
63.40708649,0.00000000,0.32654800
63.57092649,0.00000000,0.78432570
63.73476649,0.00000000,0.32654800
63.89860649,0.00000000,0.32654800
64.06244649,0.00000000,0.32654800
64.22628649,0.00000000,-0.13122960
64.39012648,0.00000000,-0.13122960
64.55396648,0.00000000,-0.13122960
64.71780648,0.00000000,-0.13122960
64.88164648,0.00000000,-0.13122960
65.04548648,0.00000000,-0.13122960
65.20932648,0.00000000,-0.13122960
65.37316648,0.00000000,0.32654800
65.53700648,0.00000000,0.32654800
65.70084648,0.00000000,-0.13122960
65.86468648,0.00000000,-0.13122960
66.02852647,1.88299200,-0.13122960
66.19236647,1.88299200,-0.13122960
66.35620647,1.88299200,-0.13122960
66.52004647,1.92785400,-0.13122960
66.68388647,1.88299200,0.32654800
